العباسي/البُحتُرِيّ,آذانُهُم وَقرٌ عَنِ الداعي إِلى ال    هَيجاءِ مُصغِيَةٌ إِلى الناقوسِ
العباسي/البُحتُرِيّ,ما إِن يَزالُ عَدُوُّهُم في نِعمَةٍ    مِن مالِهِم وَصَديقُهُم في بوسِ
العباسي/البُحتُرِيّ,أَسيافُهُم خَشَبٌ وَحِلفُ نِسائِهِم    إِمّا صَدَقنَ بِفَيشَةِ القِسّيسِ
الفاطمي/الشريف المرتضى,وَأَطلُبُ ما أَعيا الرّجالَ طِلابُه    فَيا لِلحِجى كَم ذا يَكونُ طِلابي
الفاطمي/الشريف المرتضى,وَبِي ما أَذودُ النّاسَ عن باب علمِهِ    وكلُّ أُساتي جاهلون بما بِي
الفاطمي/الشريف المرتضى,فلِي كَبِدٌ تَصلى بغيرِ خريدةٍ    وَلِي جَسدٌ يبلي بغير كَعابٍ
الفاطمي/الشريف المرتضى,إِذا لَم أُرَغْ عند الغوانِي تغزّلاً    فَمثلُ مشيبي بينهنَّ شَبابي
الحديث/أحمد محرم,إلى ابنِ عُيينةَ انطلَقَ القضاءُ    فما بأبيهِ إذ أودى غَناء
الحديث/أحمد محرم,له من حولِ مَصرعِهِ عُواءُ    إذا شَفَتِ الصَّدَى البِيضُ الظِّماءُ
الحديث/أحمد محرم,وأين دَمُ ابنِ نَضْلَةَ هل يَضِيعُ    ويَبقى بعده الحَدَثُ الفظيعُ
الحديث/أحمد محرم,لَعمرُكَ ما لقاتِلِهِ شَفيعُ    صَريعٌ طاحَ في دَمِهِ صَرِيعُ
الحديث/أحمد محرم,هو المِقْدَادُ إن دُعِيَتْ نَزالِ    تَقَدَّمَ لا يَهابُ ولا يبالي
الحديث/أحمد محرم,وما بأبي قَتَادَةَ في الرجالِ    خَفَاءٌ حين تَشْتَجِرُ العَوالِي
الحديث/أحمد محرم,أصابَ السَّهمُ وَجهاً منه نَضْرا    وأبصرَهُ النبيُّ فقالَ صَبْرا
